knob,fm_label,value,depth,seed,effective_rank,participation_ratio,spectral_entropy,concentration_index,rank_ratio,top5_energy,gap_ratio,power_law_exponent,rff_error,feature_map
freq_scale,high_dim,4.0,1,2,55.97501429746345,55.97501429746347,6.050846174697858,0.3003123212817068,1.0,0.1749350508861555,0.5855774028646794,0.6333651423814294,1.5447909585128254,high_dim
freq_scale,high_dim,4.0,2,0,55.97501429746345,55.975014297463446,6.050846174697858,0.3003123212817068,1.0,0.17493505088615552,0.5855774028646792,0.6333651423814295,1.560664369544956,high_dim
freq_scale,high_dim,4.0,2,1,55.97501429746345,55.975014297463446,6.050846174697858,0.3003123212817068,1.0,0.17493505088615552,0.5855774028646792,0.6333651423814295,1.8703152231909388,high_dim
freq_scale,high_dim,4.0,2,2,55.97501429746345,55.975014297463446,6.050846174697858,0.3003123212817068,1.0,0.17493505088615552,0.5855774028646792,0.6333651423814295,1.5447909585128254,high_dim
freq_scale,high_dim,4.0,3,0,55.97501429746344,55.975014297463446,6.050846174697859,0.30031232128170704,1.0,0.17493505088615557,0.5855774028646792,0.6333651423814298,1.560664369544956,high_dim
freq_scale,high_dim,4.0,3,1,55.97501429746344,55.975014297463446,6.050846174697859,0.30031232128170704,1.0,0.17493505088615557,0.5855774028646792,0.6333651423814298,1.8703152231909388,high_dim
freq_scale,high_dim,4.0,3,2,55.97501429746344,55.975014297463446,6.050846174697859,0.30031232128170704,1.0,0.17493505088615557,0.5855774028646792,0.6333651423814298,1.5447909585128254,high_dim
freq_scale,high_dim,8.0,1,0,57.32665457658184,57.32665457658185,6.070397498406042,0.283416817792727,1.0,0.1686276861306449,0.5645252571834961,0.6120203409358137,1.5839854351365459,high_dim
freq_scale,high_dim,8.0,1,1,57.32665457658184,57.32665457658185,6.070397498406042,0.283416817792727,1.0,0.1686276861306449,0.5645252571834961,0.6120203409358137,1.9045656617950395,high_dim
freq_scale,high_dim,8.0,1,2,57.32665457658184,57.32665457658185,6.070397498406042,0.283416817792727,1.0,0.1686276861306449,0.5645252571834961,0.6120203409358137,1.5574643081034436,high_dim
