config,fm,data_dist,seed,pca_eff_dim,effective_rank,participation_ratio,spectral_entropy,concentration_index,rank_ratio,top5_energy,gap_ratio,power_law_exponent
highd_d2_f15,high_dim,real_breast,2,5,47.642626481883966,47.64262648188396,6.072809535938718,0.5235737351811603,1.0,0.22479204417012252,0.6042054075968907,0.9126583745997664
highd_d2_f15,high_dim,gaussian,3,5,54.21938303530099,54.21938303530099,6.184136732466264,0.45780616964699006,1.0,0.19630372011714564,0.6119832567134108,0.8001777647384257
highd_d2_f15,high_dim,clusters,3,4,44.14030853893822,44.14030853893823,5.985521927146055,0.5585969146106178,1.0,0.2334537601075727,0.6045379523996266,1.0022533733509957
highd_d2_f15,high_dim,periodic,3,5,37.55198742740986,37.55198742740988,5.852074187560771,0.6244801257259014,1.0,0.2694993108521598,0.6195717561805294,1.0994089773274658
highd_d2_f15,high_dim,uniform,3,5,51.9895291892751,51.98952918927513,6.146094523201632,0.4801047081072489,1.0,0.20623622603240271,0.6264301439599274,0.8429182037563149
highd_d2_f15,high_dim,heavy_tail,3,5,48.05157332708582,48.051573327085826,6.076287213562826,0.5194842667291418,1.0,0.2203109087852894,0.6207294948454628,0.9133460619681091
highd_d2_f15,high_dim,real_breast,3,5,51.60695878920869,51.606958789208704,6.1506262903229825,0.4839304121079131,1.0,0.20334546533030742,0.6307190124406725,0.8296686562686072
highd_d2_f30,high_dim,gaussian,0,5,65.48383025420945,65.48383025420948,6.328245207871467,0.3451616974579055,1.0,0.16017173602063062,0.5812995216543332,0.6654915966156725
highd_d2_f30,high_dim,clusters,0,3,56.558551906227315,56.558551906227315,6.208328972980077,0.43441448093772683,1.0,0.1887338921961024,0.5882754360753143,0.7884816322883361
highd_d2_f30,high_dim,periodic,0,5,59.568867133412844,59.568867133412844,6.255121889959163,0.4043113286658716,1.0,0.17965245738787283,0.5737132470779298,0.7400558758457464
highd_d2_f30,high_dim,uniform,0,5,66.88874556658135,66.88874556658133,6.342625880528458,0.33111254433418646,1.0,0.15482696770453083,0.5945711875851026,0.6517443473346124
highd_d2_f30,high_dim,heavy_tail,0,5,58.72942708130736,58.729427081307364,6.249373892545951,0.4127057291869264,1.0,0.18333417150287415,0.5902767299155713,0.7394931997682995
highd_d2_f30,high_dim,real_breast,0,5,61.750999716878546,61.750999716878546,6.282932393200111,0.3824900028312146,1.0,0.1715634034349289,0.5707423211062906,0.7151801461034468
highd_d2_f30,high_dim,gaussian,1,5,66.99781032793574,66.99781032793572,6.349069108041934,0.33002189672064264,1.0,0.15551356182596673,0.6096607097150362,0.6398592528933649
highd_d2_f30,high_dim,clusters,1,4,54.365660695387454,54.36566069538749,6.178154004004493,0.4563433930461255,1.0,0.1940229054139753,0.6062959357490105,0.8161250482145909
highd_d2_f30,high_dim,periodic,1,5,54.258349215300086,54.25834921530009,6.173349894177446,0.45741650784699917,1.0,0.19904936966803638,0.5871833512976031,0.8264309366580072
highd_d2_f30,high_dim,uniform,1,5,63.16121598207794,63.16121598207796,6.299205020726335,0.36838784017922055,1.0,0.16633435688727094,0.5874534198103668,0.6971445356056603
highd_d2_f30,high_dim,heavy_tail,1,5,60.283068452429845,60.28306845242983,6.264242395293351,0.39716931547570156,1.0,0.1760922656495293,0.6050563716720644,0.731678006283034
highd_d2_f30,high_dim,real_breast,1,5,60.95253409350384,60.95253409350386,6.268871533938346,0.3904746590649616,1.0,0.17671782723311405,0.5971363537265938,0.7304769351230194
highd_d2_f30,high_dim,gaussian,2,5,60.95759300233873,60.95759300233876,6.264115514131559,0.3904240699766127,1.0,0.17443133463726357,0.5814014793155248,0.7438976725881468
highd_d2_f30,high_dim,clusters,2,4,62.301788556132855,62.30178855613285,6.285979245773598,0.37698211443867147,1.0,0.1693696936002516,0.5622727078038535,0.7125313007112628
highd_d2_f30,high_dim,periodic,2,5,58.401257564460195,58.40125756446018,6.233555936089874,0.41598742435539804,1.0,0.18185065755212856,0.6087390620514677,0.7706762802136248
highd_d2_f30,high_dim,uniform,2,5,65.59363099973257,65.59363099973258,6.332281944934343,0.34406369000267434,1.0,0.16083544557277393,0.5944422729434028,0.6557795672077892
highd_d2_f30,high_dim,heavy_tail,2,5,63.17390479717787,63.17390479717789,6.302027270179619,0.3682609520282213,1.0,0.1663050357954258,0.6002406276600115,0.688594010110676
highd_d2_f30,high_dim,real_breast,2,5,57.40745252840326,57.40745252840325,6.227202977193062,0.4259254747159674,1.0,0.1882493871333405,0.5802044677167818,0.7711622270112627
highd_d2_f30,high_dim,gaussian,3,5,64.04968643737998,64.04968643737998,6.308287853283464,0.3595031356262003,1.0,0.16312819204024157,0.5927301692109302,0.6905097038457326
highd_d2_f30,high_dim,clusters,3,4,56.54221621485282,56.54221621485284,6.2143478029439185,0.43457783785147175,1.0,0.18985988622807523,0.5869870155412513,0.7817951866568404
highd_d2_f30,high_dim,periodic,3,5,58.687664090310165,58.687664090310165,6.233600632766705,0.41312335909689835,1.0,0.1791953295295242,0.5885995252885244,0.7686565351509066
highd_d2_f30,high_dim,uniform,3,5,62.39414392687586,62.394143926875856,6.292094722858219,0.37605856073124133,1.0,0.1688915115042746,0.5874541491161897,0.703570308109467
highd_d2_f30,high_dim,heavy_tail,3,5,60.50943350312021,60.50943350312023,6.260559433699653,0.39490566496879786,1.0,0.17417109489098692,0.5890368361357295,0.7419640876458983
highd_d2_f30,high_dim,real_breast,3,5,62.70392166078858,62.70392166078854,6.300415095718213,0.37296078339211425,1.0,0.17051700677105483,0.6027345572575536,0.6922141213974128
